id,text
P001,"Tu trabajo va a llenar gran parte de tu vida, y la única manera de estar realmente satisfecho es hacer lo que crees que es un gran trabajo."
P002,"Siempre parece imposible hasta que se hace."
P003,"Apunta a la luna, que incluso si le erras, aterrizarás entre las estrellas."
P004,"No esperes el momento perfecto, toma el momento y hazlo perfecto."
P005,"Cuando algo es lo suficientemente importante, lo haces incluso si las probabilidades no están a tu favor."
P006,"El futuro pertenece a quienes creen en la belleza de sus sueños."
P007,"La mejor manera de predecir el futuro es crearlo."
P008,"No se fracasa hasta que se deja de intentar."
P009,"La disciplina es el puente entre metas y logros."
P010,"Convierte tus heridas en sabiduría."
P011,"El éxito es la suma de pequeños esfuerzos repetidos día tras día."
P012,"Haz de tu vida un sueño y de tu sueño una realidad."
P013,"El conocimiento habla, la sabiduría escucha."
P014,"Quien mueve montañas comienza apartando pequeñas piedras."
P015,"Lo único imposible es aquello que no intentas."
P016,"La inspiración existe, pero tiene que encontrarte trabajando."
P017,"No cuentes los días; haz que los días cuenten."
P018,"No puedes cruzar el mar simplemente mirando el agua."
P019,"La felicidad no es algo hecho; proviene de tus propias acciones."
P020,"El coraje no siempre ruge; a veces es una voz tranquila que dice: “Lo intentaré de nuevo mañana”."
P021,"Un viaje de mil millas comienza con un solo paso."
P022,"La fortuna favorece a los audaces."
P023,"Somos lo que hacemos repetidamente; la excelencia es un hábito."
P024,"La mente es todo: en lo que pienses te conviertes."
P025,"El momento que estás dispuesto a renunciar es precisamente el momento antes de que ocurra el milagro."
P026,"Sueña en grande y atrévete a fallar."
P027,"Nunca limites tus desafíos; desafía tus límites."
P028,"La imaginación lo es todo; es un adelanto de las atracciones de la vida que vendrán."
P029,"No mires el reloj; haz lo que él hace: sigue adelante."
P030,"El secreto de salir adelante es empezar."
P031,"El éxito no es definitivo ni el fracaso es fatal; lo que cuenta es el valor para continuar."
P032,"Cuanto más trabajes, más suerte tendrás."
P033,"No se trata de tener tiempo, se trata de hacer tiempo."
P034,"La vida en sí misma es el cuento más maravilloso."
P035,"Haz hoy lo que otros no quieren y mañana vivirás como otros no pueden."
P036,"Tu actitud, no tu aptitud, determina tu altitud."
P037,"Mantén tu rostro hacia el sol y las sombras quedarán atrás."
P038,"La grandeza de un hombre está en su decisión de ser más fuerte que su condición."
P039,"Las oportunidades no pasan; las creas."
P040,"Quien tiene un porqué puede soportar casi cualquier cómo."
P041,"Persigue la visión, no el dinero; el dinero terminará siguiéndote."
P042,"El único límite a nuestros logros de mañana es dudar hoy."
P043,"La vida se encoje o se expande en proporción a tu valentía."
P044,"Hazlo o no lo hagas, pero no lo intentes a medias."
P045,"El fracaso es la oportunidad de empezar de nuevo con más inteligencia."
P046,"Nada grande se ha logrado sin entusiasmo."
P047,"La única forma de hacer un gran trabajo es amar lo que haces."
P048,"No sueñes tu vida; vive tu sueño."
P049,"Lo que obtienes al alcanzar tus metas no es tan importante como en quién te conviertes al lograrlas."
P050,"Las tormentas hacen que los árboles echen raíces más profundas."
P051,"Vive como si fueras a morir mañana; aprende como si fueras a vivir para siempre."
P052,"Sé tú el cambio que quieres ver en el mundo."
P053,"El dolor es temporal; la gloria es eterna."
P054,"Nunca es demasiado tarde para ser lo que podrías haber sido."
P055,"La suerte favorece la mente preparada."
P056,"Si puedes soñarlo, puedes lograrlo."
P057,"La única persona en la que estás destinado a convertirte es la persona que decidas ser."
P058,"No encuentres la falta, encuentra el remedio."
P059,"La clave del éxito es enfocarse en metas, no en obstáculos."
P060,"Nada funciona a menos que tú lo hagas funcionar."
P061,"Haz de cada día tu obra maestra."
P062,"La valentía es saber que algo es aterrador, pero hacerlo de todos modos."
P063,"Si no te gusta el camino por el que andas, empieza a construir uno nuevo."
P064,"El talento gana juegos, pero el trabajo en equipo gana campeonatos."
P065,"No importa lo lento que avances, siempre y cuando no te detengas."
P066,"La mejor venganza es el éxito masivo."
P067,"El riesgo más grande es no tomar ninguno."
P068,"La educación es el arma más poderosa para cambiar el mundo."
P069,"La creatividad es la inteligencia divirtiéndose."
P070,"Cambia tus pensamientos y cambiarás tu mundo."
P071,"El carácter se construye cuando nadie está mirando."
P072,"El verdadero fracaso no es caer, sino negarse a levantarse."
P073,"Prefiero morir de pasión que de aburrimiento."
P074,"Cuando obedeces todas las reglas, te pierdes la diversión."
P075,"El mañana pertenece a quienes se preparan hoy."
P076,"El primer paso es que tienes que decir que puedes."
P077,"Quien no arriesga, no gana."
P078,"La vida es 10 % lo que me ocurre y 90 % cómo reacciono."
P079,"Las grandes mentes discuten ideas; las mentes promedio, eventos; las pequeñas, personas."
P080,"Tu futuro es creado por lo que haces hoy, no mañana."
P081,"El secreto de la felicidad es la libertad; el secreto de la libertad es el coraje."
P082,"La paciencia es amarga, pero su fruto es dulce."
P083,"El pesimista ve dificultad en cada oportunidad; el optimista ve oportunidad en cada dificultad."
P084,"Trabaja duro en silencio y deja que tu éxito haga todo el ruido."
P085,"El momento en que dudas si puedes volar, dejas de poder hacerlo."
P086,"No soy producto de mis circunstancias; soy producto de mis decisiones."
P087,"Todo lo que puedas imaginar es real."
P088,"La mente que se abre a una nueva idea jamás volverá a su tamaño original."
P089,"No temas renunciar a lo bueno para perseguir lo grandioso."
P090,"Un problema es una oportunidad en ropa de trabajo."
P091,"El éxito suele llegar a quienes están demasiado ocupados para buscarlo."
P092,"Haz lo que puedas, con lo que tengas, donde estés."
P093,"Deja de esperar el viernes, la persona ideal o la ocasión perfecta."
P094,"La perfección no es alcanzable, pero si la buscamos alcanzamos la excelencia."
P095,"No puedes detener las olas, pero puedes aprender a surfear."
P096,"Sé valiente: la curiosidad es la chispa detrás de cada gran idea."
P097,"Aquel que tiene imaginación, con qué facilidad saca de la nada un mundo."
P098,"Si no sueñas, no lograrás nada."
P099,"La gente olvidará lo que dijiste y lo que hiciste, pero nunca cómo les hiciste sentir."
P100,"La visión sin acción es un sueño; la acción sin visión es pesadilla."
P101,"No dejes que el miedo decida tu futuro."
P102,"No esperes. El tiempo nunca será justo."
P103,"El éxito no es la clave de la felicidad; la felicidad es la clave del éxito."
P104,"La voluntad encuentra el camino."
P105,"El único modo de descubrir los límites de lo posible es ir más allá de ellos."
P106,"El optimismo es la fe que conduce al logro."
P107,"Solo aquellos que se atreven a tener grandes fracasos terminan logrando grandes éxitos."
P108,"No existe gran talento sin gran voluntad."
P109,"El triunfo verdadero nace del fuego de la lucha."
P110,"El mundo pertenece a los que se atreven."
P111,"Para ser insustituible, uno debe ser siempre diferente."
P112,"Quien no vive para servir, no sirve para vivir."
P113,"La confianza en uno mismo es el primer secreto del éxito."
P114,"El éxito es amar la vida y atreverse a vivirla."
P115,"No puedes esperar construir un mundo mejor sin mejorar a las personas."
P116,"Las grandes obras no se realizan con fuerza sino con perseverancia."
P117,"La única diferencia entre el imposible y el posible radica en la voluntad."
P118,"No hay ascensor al éxito; tienes que tomar las escaleras."
P119,"La pasión es la gasolina del éxito."
P120,"Si quieres volar, renuncia a las cosas que te pesan."
P121,"Cada día trae nuevas opciones."
P122,"El secreto de avanzar es comenzar."
P123,"El verdadero tesoro es la experiencia."
P124,"La gloria no consiste en no caer jamás, sino en levantarse todas las veces que sea necesario."
P125,"El tiempo es el mejor autor; siempre encuentra un final perfecto."
P126,"No se trata de qué tan alto llegues, sino de cuántas personas lleves contigo."
P127,"El progreso ocurre fuera de la zona de confort."
P128,"Rodéate de quienes creen en tu grandeza."
P129,"El talento te da un punto de partida; el carácter, la meta."
P130,"La duda mata más sueños que el fracaso."
P131,"La grandeza comienza con un corazón humilde y un espíritu dispuesto."
P132,"Sembramos pensamientos y cosechamos acciones."
P133,"La persistencia es la madre de la buena suerte."
P134,"No hay viento favorable para quien no sabe a dónde va."
P135,"El arte de la vida es evitar dejarse abatir por las pequeñas cosas."
P136,"Una meta sin un plan es solo un deseo."
P137,"No hay nada permanente excepto el cambio."
P138,"Si haces lo que siempre has hecho, obtendrás lo que siempre has obtenido."
P139,"La excelencia no es un acto, sino un hábito."
P140,"Todo progreso ocurre al borde del caos."
P141,"A veces la mayor aventura es vivir la vida de tus sueños."
P142,"Mantén tu mente positiva incluso en días negativos."
P143,"Cada gran sueño comienza con un soñador."
P144,"Si te cansas, aprende a descansar, no a renunciar."
P145,"No eres una gota en el océano; eres el océano entero en una gota."
P146,"La oportunidad suele pasar disfrazada de trabajo duro."
P147,"Lo que haces hoy puede mejorar todos tus mañanas."
P148,"Cuanto más fuerte sea la tormenta, más brillante será tu arcoíris."
P149,"Nunca sabes lo fuerte que eres hasta que ser fuerte es tu única opción."
P150,"El primer paso hacia la grandeza es ser honesto contigo mismo."
P151,"El éxito depende del esfuerzo."
P152,"La clave para el cambio es dejar atrás el miedo."
P153,"Un héroe es alguien que ha dado su vida a algo más grande que él mismo."
P154,"Mientras más sudes en la práctica, menos sangrarás en la batalla."
P155,"El liderazgo es influencia, nada más."
P156,"El corazón valiente es una poderosa arma."
P157,"Lo que no te mata te hace más fuerte."
P158,"Los desafíos hacen la vida interesante y superarlos la hace significativa."
P159,"No hay secretos para el éxito: se alcanza preparándose y aprendiendo del fracaso."
P160,"La innovación distingue a un líder de un seguidor."
P161,"Los límites comienzan donde termina la visión."
P162,"Sé fiel a lo que existe dentro de ti."
P163,"El genio es un 1 % de inspiración y un 99 % de transpiración."
P164,"Aprende del pasado, vive el presente y sueña el futuro."
P165,"El poder de la imaginación nos hace infinitos."
P166,"La vida recompensa a quienes se atreven a vivirla con pasión."
P167,"El comienzo es la parte más importante del trabajo."
P168,"Las personas olvidarán rápido lo que dijiste, pero no cómo los hiciste sentir."
P169,"El mejor modo de servirte a ti mismo es servir a los demás."
P170,"Un objetivo correcto se alcanza con un camino correcto."
P171,"Cada minuto que inviertes en planificación ahorra diez en ejecución."
P172,"Las dificultades preparan a las personas ordinarias para destinos extraordinarios."
P173,"El futuro empieza hoy, no mañana."
P174,"Si no luchas por lo que amas, no llores por lo que pierdes."
P175,"El hombre sabio no vive para comer, sino come para vivir."
P176,"Ningún mar en calma hizo experto a un marinero."
P177,"Hay una fuerza motriz más poderosa que el vapor, la electricidad o la energía atómica: la voluntad."
P178,"El secreto de la creatividad es saber esconder tus fuentes."
P179,"La acción es la llave fundamental de cualquier éxito."
P180,"Los sueños son las semillas de la realidad."
P181,"No importa lo que decidas, lo más importante es decidir."
P182,"El precio de la grandeza es la responsabilidad."
P183,"El mundo está lleno de cosas mágicas esperando a que nuestros sentidos se agudicen."
P184,"Nada en la vida debe ser temido, solo comprendido."
P185,"Si quieres entender la palabra felicidad, debes entenderla como recompensa."
P186,"Nunca subestimes el poder de una idea."
P187,"La motivación te impulsa a comenzar, el hábito te mantiene."
P188,"Quien no sabe lo que busca no entiende lo que encuentra."
P189,"Tu potencial es la suma de tus pensamientos y acciones."
P190,"Vive cada día como si tu vida acabara de empezar."
P191,"La luz que brilla dentro de ti es más fuerte que cualquier oscuridad externa."
P192,"Las palabras pueden inspirar, pero solo la acción crea cambio."
P193,"La determinación es el fuego que forja el éxito."
P194,"Encuentra un propósito, los medios llegarán."
P195,"La grandeza se mide por las batallas que elijas librar."
P196,"Una simple sonrisa puede cambiar tu día y el de alguien más."
P197,"Si quieres ver resultados distintos, haz cosas distintas."
P198,"El reto del liderazgo es ser fuerte, pero no rudo; bondadoso, pero no débil."
P199,"Cuando dices “sí” a los demás, asegúrate de no decir “no” a ti mismo."
P200,"El mejor momento para plantar un árbol fue hace veinte años; el segundo mejor momento es ahora."
